#    X        Y           F606W     F814W
#    ACS/WFC-pixel            ACS/WFC  
  1485.956  1773.332      23.594    22.209
  1486.790  1765.909      26.492    24.826
  1483.792  1799.413      24.805    23.381
  1467.617  1822.596      26.637    25.640
  1473.505  1844.043      27.708    26.679
  1466.703  1887.463      27.204    25.358
  1481.334  1904.943      25.654    23.995
  1481.270  1982.319      26.748    24.636
  1504.428  1029.766      27.550    25.324
  1490.814  1102.796      26.025    24.249
  1509.039  1122.726      26.911    25.739
  1489.339  1254.475      20.878    19.224
  1511.251  1245.554      26.277    24.219
  1496.398  1302.516      23.590    22.154
  1503.438  1321.534      26.244    24.723
  1501.825  1418.686      27.543    25.268
  1494.039  1481.876      26.417    24.608
  1496.037  1507.692      24.288    22.798
  1511.275  1557.092      25.107    23.590
  1495.176  1568.680      26.013    24.748
  1498.317  1632.979      28.722    26.146
  1504.438  1663.107      24.964    23.495
  1491.918  1710.639      26.487    25.992
  1493.191  1784.216      27.015    24.983
  1503.696  1806.385      26.559    26.239
  1495.843  1830.687      26.432    24.590
  1499.924  1883.952      27.277    26.143
  1503.488  1888.154      25.175    23.736
  1488.563  1944.889      25.173    23.673
  1527.727  1020.626      21.322    19.666
  1513.571  1222.738      27.507    25.133
  1527.974  1234.485      19.927    18.249
  1533.651  1361.653      26.198    24.915
  1521.179  1456.289      27.809    25.785
  1537.607  1461.573      27.777    25.513
  1521.349  1544.669      25.065    23.704
  1518.125  1581.221      26.836    26.469
  1531.353  1601.625      25.948    24.140
  1515.421  1629.007      27.764    25.277
  1519.392  1656.628      24.535    23.152
  1529.568  1664.022      26.940    25.253
  1519.620  1780.715      25.182    23.555
  1513.121  1850.214      23.854    22.506
  1532.829  1848.703      27.062    27.112
  1528.478  1886.514      27.461    25.391
  1513.734  1922.502      24.821    23.460
  1536.309  1921.911      26.432    24.913
  1536.606  1975.237      26.532    24.877
  1541.814  1064.256      25.821    24.136
  1557.775  1099.361      27.339    24.803
  1556.273  1176.769      25.900    24.293
  1541.777  1197.410      26.095    24.379
  1549.271  1328.605      25.287    23.877
  1555.189  1399.603      26.620    24.848
  1556.838  1420.996      27.678    25.356
  1559.559  1483.500      26.155    24.644
  1559.844  1508.523      26.816    25.774
  1540.375  1638.572      25.612    24.015
  1538.489  1690.002      25.304    23.682
  1561.207  1771.381      24.390    22.938
  1560.020  1804.309      27.404    25.496
  1553.389  1833.994      23.614    22.232
  1560.779  1873.320      23.938    22.493
  1544.008  1890.575      24.528    23.015
  1549.414  1895.407      26.215    24.700
  1555.113  1903.687      26.215    24.653
  1562.923  1925.893      27.058    26.273
  1575.106  1135.889      26.408    24.813
  1585.998  1124.390      24.710    23.270
  1584.470  1157.844      25.731    24.278
  1569.305  1391.678      24.354    22.802
  1587.188  1405.287      25.999    24.660
  1575.181  1448.695      24.500    23.060
  1578.554  1486.348      25.800    24.135
  1581.670  1570.933      28.088    26.312
  1574.347  1637.925      27.201    25.082
  1578.987  1623.003      23.003    21.518
  1584.620  1613.121      26.974    25.609
  1563.663  1763.903      26.778    25.030
  1577.670  1879.017      25.989    24.459
  1574.445  1892.006      26.877    25.376
  1575.437  1898.651      25.097    23.658
  1580.007  1919.101      26.284    24.810
  1565.628  1961.994      26.064    24.503
  1604.907  1095.848      25.289    23.811
  1607.731  1114.588      18.892    17.216
  1608.101  1146.457      25.668    23.839
