#    X         Y         F606W       rms      N     F814W      rms       N        RA               DEC               flag  
#
  4532.486   436.087     29.4501    9.900     1     28.9101    9.900     1     43.93019356753    -54.14746579817        1
  4562.767   405.628     25.6321    0.507     3     24.2511    0.417     3     43.93091203656    -54.14788883761        0
  4567.284   401.526     24.4891    9.900     1     33.0181    0.019     2     43.93101920479    -54.14794580938        0
  4568.140   404.581     24.6441    0.124     2     33.0181    0.312     2     43.93103945607    -54.14790337771        0
  4568.766   401.051     24.5451    9.900     1     33.0181    0.081     3     43.93105435295    -54.14795240622        0
  4565.585   406.150     24.9821    0.092     2     33.0181    0.157     2     43.93097884867    -54.14788158650        0
  4566.723   403.314     24.7201    0.195     2     33.0181    0.002     3     43.93100587548    -54.14792097576        0
  4569.220   399.244     24.9751    0.199     2     33.0181    0.070     3     43.93106514542    -54.14797750378        0
  4568.365   402.722     24.5571    0.059     2     33.0181    0.182     3     43.93104481928    -54.14792919758        0
  4564.823   402.448     25.2851    9.900     1     24.1791    0.019     2     43.93096083599    -54.14793300443        0
  4570.985   404.741     25.2511    0.296     2     24.2891    0.867     2     43.93110691387    -54.14790115446        0
  4573.010   402.195     25.5951    1.572     2     24.7911    1.264     2     43.93115496886    -54.14793651556        0
  4568.786   421.810     29.6531    9.900     1     28.7481    9.900     1     43.93105451397    -54.14766408116        1
  4566.828   486.892     26.3321    9.900     1     29.0941    2.184     2     43.93100710548    -54.14676014759        0
   487.682   682.773     30.7331    9.900     1     29.7111    9.900     1     43.83428908232    -54.14404093311        1
   484.758   707.034     30.2121    9.900     1     33.0021    9.900     1     43.83422017733    -54.14370396923        0
   462.504   714.304     33.9021    9.900     1     29.7011    9.900     1     43.83369267508    -54.14360300272        1
   469.806   735.250     30.3461    9.900     1     29.0771    9.900     1     43.83386616784    -54.14331207788        0
   499.752   635.186     30.2441    2.320     2     29.1921    9.900     1     43.83457443558    -54.14470187235        1
   509.226   626.601     31.3411    9.900     1     28.3221    3.538     2     43.83479891661    -54.14482110751        0
   497.318   720.373     29.9831    0.935     2     29.4981    2.874     2     43.83451819864    -54.14351869740        1
   530.968   628.895     29.2571    0.192     2     29.0471    9.900     1     43.83531446033    -54.14478923828        0
   517.245   661.291     30.2891    9.900     1     29.4071    9.900     1     43.83498964224    -54.14433928982        0
   522.009   665.112     29.6931    9.900     1     29.2251    9.900     1     43.83510266109    -54.14428621770        0
   532.564   667.016     33.9021    9.900     1     29.4071    9.900     1     43.83535295020    -54.14425976909        0
   554.147   629.089     30.4291    0.344     2     29.5921    9.900     1     43.83586403923    -54.14478653578        1
